total crime (by borough),rainfall(mm),total employment in London,employment rate(%),total unemployment in London,unemployment rate,population in London,Non-UK nationality,inflation rate,covid-19 total cases,death due to covid-19 ,Passengers in London\t
75309,93.417,4597936,75.5,212835,4.3,8980000,2012000,1.4,0,0,6696079\t
76649,44.699,4629941,76.0,224354,4.5,9056000,1973000,1.8,0,0,6099370\t
73641,82.04,4677031,76.7,229245,4.5,9056000,1973000,1.7,16,0,5442081\t
66224,35.054,4662390,76.5,239356,4.7,9056000,1973000,1.5,10109,1377,3106845\t
48813,30.228,4632029,76.0,234465,4.6,9056000,1973000,0.9,27858,5467,206600\t
57386,1.205,4583460,75.2,256395,5.1,9056000,1973000,0.7,32240,6072,228018\t
62419,55.187,4632330,76.0,235274,4.6,9056000,1973000,0.8,33647,6157,350283\t
70732,37.775,4654545,76.3,255792,5.0,9056000,1973000,1.1,35640,6188,866655\t
70811,57.184,4637960,75.9,266721,5.3,9056000,1973000,0.5,40004,6203,1418683\t
71561,19.586,4576121,74.9,301481,6.0,9056000,1973000,0.7,52797,6271,1256479\t
71632,151.616,4574210,74.8,321798,6.3,9056000,1973000,0.9,101496,6530,1245624\t
64925,39.684,4572805,74.8,355027,6.9,9056000,1973000,0.6,168773,7227,746954\t
60251,84.331,4545088,74.3,356136,7.0,9056000,1973000,0.8,422967,8971,1143417\t
