total_crime,rainfall,total_employment_in_London,employment_rate,total_unemployment_in_London,unemployment_rate,population_in_London,Non-UK_nationality,inflation_rate,covid-19_total_cases,death_due_to_covid-19,Passengers_in_London,
61814,558.81,4165161,71.6,297722,6.5,8591000,1938000,1.1,0,0,5473031,
59632,226.11,4184305,71.9,294853,6.4,8591000,1938000,0.7,0,0,5925713,
59160,347.07,4218392,72.4,283185,6.2,8591000,1938000,0.5,0,0,5454689,
55290,242.76,4216704,72.3,287233,6.2,8591001,1938000,0.4,0,0,4954259,
62393,103.94,4215822,72.2,285010,6.2,8591002,1938000,0.3,0,0,5950930,
58536,96.95,4211969,72.0,285610,6.3,8591003,1938000,0.3,0,0,6144333,
63314,262.43,4203336,71.8,308259,6.7,8591004,1938000,0.4,0,0,6342533,
63174,78.32,4226271,72.1,306543,6.7,8591005,1938000,0.3,0,0,6675186,
64215,261.51,4239452,72.3,296813,6.4,8591006,1938000,0.5,0,0,7292273,
60404,496.74,4266486,72.7,276,6.0,8591007,1938000,0.4,0,0,7333100,
59820,305.37,4253307,72.4,296900,6.4,8591008,1938000,0.2,0,0,6766212,
64753,245.85,4289058,72.9,294310,6.3,8591009,1938000,0.2,0,0,6562401,
64907,324.92,4282494,72.8,288073,6.2,8591010,1938000,0.4,0,0,5582081,
63206,250.9,4290791,72.9,293637,6.3,8591011,1938000,0.5,0,0,5901061,
61163,399.16,4287967,72.8,290165,6.3,8698000,2020000,0.6,0,0,5507719,
59039,203.77,4305311,73.0,290976,6.3,8698000,2020000,0.6,0,0,5179374,
61735,352.39,4324337,73.3,274019,5.8,8698000,2020000,0.8,0,0,6100967,
61092,236.51,4334789,73.4,279923,5.9,8698000,2020000,0.7,0,0,6047226,
66846,255.51,4335027,73.3,278729,5.8,8698000,2020000,0.7,0,0,6292660,
64942,557.48,4338645,73.3,280757,5.9,8698000,2020000,0.8,0,0,6607388,
68496,101.94,4340216,73.3,289042,6.1,8698000,2020000,0.9,0,0,7444112,
65363,104.61,4342503,73.3,291594,6.1,8698000,2020000,1,0,0,7338852,
64319,214.94,4352116,73.5,266486,5.6,8698000,2020000,1.3,0,0,6792807,
66254,136.9,4362704,73.6,259259,5.5,8698000,2020000,1.3,0,0,6480589,
63900,439.82,4367666,73.7,265811,5.6,8698000,2020000,1.5,0,0,5721133,
65301,58.22,4362111,73.6,260318,5.5,8698000,2020000,1.8,0,0,6163396,
62497,343.45,4350354,73.4,268223,5.6,8750000,2066000,1.9,0,0,5739466,
60810,194.45,4345683,73.3,282025,5.9,8750000,2066000,2.3,0,0,5266321,
71301,123.26,4343039,73.2,296512,6.1,8750000,2066000,2.3,0,0,6155844,
65835,28.89,4348373,73.3,290357,6.0,8750000,2066000,2.6,0,0,6731652,
71669,309.72,4391546,74.0,270506,5.5,8750000,2066000,2.7,0,0,6476024,
70723,236.19,4415254,74.4,271696,5.5,8750000,2066000,2.6,0,0,6758018,
74331,443.67,4447150,74.9,253899,5.2,8750000,2066000,2.6,0,0,7532422,
70636,362.6,4460451,75.0,241,4.9,8750000,2066000,2.7,0,0,7480285,
68598,266.29,4419942,74.3,245,5.0,8750000,2066000,2.8,0,0,6928800,
73443,93.93,4438737,74.5,240431,4.9,8750000,2066000,2.8,0,0,6663671,
72474,181.51,4435709,74.4,254804,5.2,8750000,2066000,2.8,0,0,5920389,
66356,467.48,4442728,74.4,245824,5.0,8750000,2066000,2.7,0,0,6335860,
69276,306.26,4467268,74.7,246951,5.0,8888000,1981000,2.7,0,0,5804671,
62636,157.1,4487896,75.0,238523,4.8,8888000,1981000,2.5,0,0,5391855,
67546,337.02,4500055,75.1,246689,4.9,8888000,1981000,2.3,0,0,6492752,
67213,317.33,4481108,74.7,259611,5.2,8888000,1981000,2.2,0,0,6581579,
71774,289.35,4479874,74.6,255251,5.1,8888000,1981000,2.3,0,0,6676963,
70957,10.83,4484487,74.5,241678,4.9,8888000,1981000,2.3,0,0,7124524,
75147,119.24,4495084,74.6,235247,4.7,8888000,1981000,2.3,0,0,7812309,
69634,310.88,4512886,74.9,237455,4.8,8888000,1981000,2.4,0,0,7671950,
69308,160.93,4536036,75.2,233969,4.7,8888000,1981000,2.2,0,0,6982147,
74602,269.07,4557186,75.5,236485,4.7,8888000,1981000,2.2,0,0,6954019,
74888,429.96,4526051,75,226844,5,8888000,1981000,2.2,0,0,6113761,
72210,309,4522501,75,217662,5,8888000,1981000,2,0,0,6495487,
72933,20,4556128,75,206608,4,8980000,2012000,1.8,0,0,5927543,
71034,35,4527947,75,217972,4,8980000,2012000,1.8,0,0,5482288,
79233,42.719,4538153,75,214018,4,8980000,2012000,1.8,0,0,6527489,
75236,6.241,4535678,75,208890,4,8980000,2012000,2,0,0,6798212,
77681,27.048,4543656,75,208763,4,8980000,2012000,1.9,0,0,6768903,
77113,64.752,4528847,75,221989,5,8980000,2012000,1.9,0,0,7246563,
82142,49,4510350,74,225144,5,8980000,2012000,2,0,0,7754139,
77024,39.235,4507392,74.2,225416,4.6,8980000,2012000,1.7,0,0,7680327,
76559,72.281,4535355,74.6,222479,4.5,8980000,2012000,1.7,0,0,6777115,
81898,101.969,4547785,74.8,221300,4.5,8980000,2012000,1.5,0,0,6994212,
79318,58.442,4601732,75.6,213947,4.3,8980000,2012000,1.5,0,0,6233801,
75309,93.417,4597936,75.5,212835,4.3,8980000,2012000,1.4,0,0,6696079,
76649,44.699,4629941,76.0,224354,4.5,9056000,1973000,1.8,0,0,6099370,
73641,82.04,4677031,76.7,229245,4.5,9056000,1973000,1.7,16,0,5442081,
66224,35.054,4662390,76.5,239356,4.7,9056000,1973000,1.5,10109,1377,3106845,
48813,30.228,4632029,76.0,234465,4.6,9056000,1973000,0.9,27858,5467,206600,
57386,1.205,4583460,75.2,256395,5.1,9056000,1973000,0.7,32240,6072,228018,
62419,55.187,4632330,76.0,235274,4.6,9056000,1973000,0.8,33647,6157,350283,
70732,37.775,4654545,76.3,255792,5.0,9056000,1973000,1.1,35640,6188,866655,
70811,57.184,4637960,75.9,266721,5.3,9056000,1973000,0.5,40004,6203,1418683,
71561,19.586,4576121,74.9,301481,6.0,9056000,1973000,0.7,52797,6271,1256479,
71632,151.616,4574210,74.8,321798,6.3,9056000,1973000,0.9,101496,6530,1245624,
64925,39.684,4572805,74.8,355027,6.9,9056000,1973000,0.6,168773,7227,746954,
60251,84.331,4545088,74.3,356136,7.0,9056000,1973000,0.8,422967,8971,1143417,
